PlayerName,Year,Stage,STG,GC,PC,KOM,SPR,SUM,BKY,ASS,Total
Vincenzo Nibali,2015,Stage 4,5,8,-,-,-,-,-,-,13,
Vincenzo Nibali,2015,Stage 5,-,8,-,-,-,-,-,-,8,
Vincenzo Nibali,2015,Stage 6,-,8,-,-,-,-,-,-,8,
Vincenzo Nibali,2015,Stage 7,-,9,-,-,-,-,-,-,9,
Vincenzo Nibali,2015,Stage 8,-,8,-,-,-,-,-,-,8,
Vincenzo Nibali,2015,Stage 9,20,8,-,-,-,-,-,-,28,
Vincenzo Nibali,2015,Stage 10,-,11,-,-,-,-,-,-,11,
Vincenzo Nibali,2015,Stage 11,-,10,-,-,-,-,-,-,10,
Vincenzo Nibali,2015,Stage 12,-,12,-,-,-,-,-,4,16,
Vincenzo Nibali,2015,Stage 13,60,12,-,-,-,-,-,-,72,
Vincenzo Nibali,2015,Stage 14,-,13,-,-,-,-,-,-,13,
Vincenzo Nibali,2015,Stage 15,-,13,-,-,-,-,-,-,13,
Vincenzo Nibali,2015,Stage 16,-,13,-,-,-,-,-,-,13,
Vincenzo Nibali,2015,Stage 17,-,14,-,-,-,-,-,-,14,
Vincenzo Nibali,2015,Stage 18,-,14,-,-,-,-,-,-,14,
Vincenzo Nibali,2015,Stage 19,200,18,-,-,-,44,-,2,264,
Vincenzo Nibali,2015,Stage 20,5,18,-,-,-,2,-,-,25,
Vincenzo Nibali,2015,Stage 21,-,18,-,-,-,-,-,-,18,
Vincenzo Nibali,2015,Final Classifications,-,300,-,-,-,-,-,10,310,
Alberto Contador,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Alberto Contador,2015,Stage 2,15,7,-,-,-,-,-,4,26,
Alberto Contador,2015,Stage 3,20,13,-,-,-,-,-,-,33,
Alberto Contador,2015,Stage 4,-,13,-,-,-,-,-,4,17,
Alberto Contador,2015,Stage 5,-,13,-,-,-,-,-,6,19,
Alberto Contador,2015,Stage 6,-,13,-,-,-,-,-,6,19,
Alberto Contador,2015,Stage 7,-,14,-,-,-,-,-,8,22,
Alberto Contador,2015,Stage 8,10,14,-,-,-,-,-,8,32,
Alberto Contador,2015,Stage 9,25,16,-,-,-,-,-,4,45,
Alberto Contador,2015,Stage 10,25,15,-,-,-,-,-,-,40,
Alberto Contador,2015,Stage 11,30,15,-,-,-,-,-,8,53,
Alberto Contador,2015,Stage 12,10,15,-,-,-,-,-,2,27,
Alberto Contador,2015,Stage 13,50,15,-,-,-,-,-,6,71,
Alberto Contador,2015,Stage 14,-,16,-,-,-,-,-,2,18,
Alberto Contador,2015,Stage 15,-,16,-,-,-,-,-,2,18,
Alberto Contador,2015,Stage 16,-,16,-,-,-,-,-,6,22,
Alberto Contador,2015,Stage 17,-,16,-,-,-,-,-,-,16,
Alberto Contador,2015,Stage 18,5,16,-,-,-,-,-,-,21,
Alberto Contador,2015,Stage 19,40,16,-,-,-,-,-,4,60,
Alberto Contador,2015,Stage 20,-,16,-,-,-,-,-,2,18,
Alberto Contador,2015,Stage 21,-,16,-,-,-,-,-,2,18,
Alberto Contador,2015,Final Classifications,-,260,-,-,-,-,-,20,280,
Thibaut Pinot,2015,Stage 1,-,3,-,-,-,-,-,-,3,
Thibaut Pinot,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 3,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 4,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 5,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 6,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 7,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 8,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 9,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 10,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 11,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 12,20,-,-,-,-,-,-,-,20,
Thibaut Pinot,2015,Stage 13,-,-,-,-,-,-,-,-,0,
Thibaut Pinot,2015,Stage 14,150,4,-,-,-,-,10,-,164,
Thibaut Pinot,2015,Stage 15,-,4,-,-,10,-,10,-,24,
Thibaut Pinot,2015,Stage 16,-,2,-,-,-,-,-,-,2,
Thibaut Pinot,2015,Stage 17,100,3,-,-,4,10,-,-,117,
Thibaut Pinot,2015,Stage 18,-,5,-,-,-,-,-,-,5,
Thibaut Pinot,2015,Stage 19,100,5,-,-,-,4,-,-,109,
Thibaut Pinot,2015,Stage 20,200,5,-,3,5,30,-,-,243,
Thibaut Pinot,2015,Stage 21,-,5,-,3,-,-,-,-,8,
Thibaut Pinot,2015,Final Classifications,-,80,20,50,-,-,-,-,150,
Greg Van Avermaet,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2015,Stage 2,70,12,-,-,-,-,-,6,88,
Greg Van Avermaet,2015,Stage 3,5,16,-,-,-,-,-,8,29,
Greg Van Avermaet,2015,Stage 4,100,15,-,-,-,-,-,8,123,
Greg Van Avermaet,2015,Stage 5,30,15,-,-,-,-,-,8,53,
Greg Van Avermaet,2015,Stage 6,80,15,-,-,-,-,-,8,103,
Greg Van Avermaet,2015,Stage 7,-,16,-,-,-,-,-,8,24,
Greg Van Avermaet,2015,Stage 8,70,16,1,-,-,-,-,8,95,
Greg Van Avermaet,2015,Stage 9,50,20,1,-,-,-,-,10,81,
Greg Van Avermaet,2015,Stage 10,-,-,-,-,-,-,-,8,8,
Greg Van Avermaet,2015,Stage 11,-,-,-,-,3,-,-,4,7,
Greg Van Avermaet,2015,Stage 12,-,-,-,-,-,-,-,4,4,
Greg Van Avermaet,2015,Stage 13,200,-,1,-,-,-,-,4,205,
Greg Van Avermaet,2015,Stage 14,-,-,1,-,-,-,10,2,13,
Greg Van Avermaet,2015,Stage 15,-,-,1,-,-,-,-,2,3,
Greg Van Avermaet,2015,Stage 16,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2015,Stage 17,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2015,Stage 18,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2015,Stage 19,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2015,Stage 20,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2015,Stage 21,-,-,-,-,-,-,-,-,0,
Greg Van Avermaet,2015,Final Classifications,-,-,-,-,-,-,-,-,0,
Mark Cavendish,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Mark Cavendish,2015,Stage 2,100,-,3,-,3,-,-,8,114,
Mark Cavendish,2015,Stage 3,-,-,3,-,6,-,-,8,17,
Mark Cavendish,2015,Stage 4,20,-,2,-,6,-,-,16,44,
Mark Cavendish,2015,Stage 5,120,-,3,-,8,-,-,10,141,
Mark Cavendish,2015,Stage 6,-,-,3,-,3,-,-,16,22,
Mark Cavendish,2015,Stage 7,200,-,4,-,2,-,-,4,210,
Mark Cavendish,2015,Stage 8,-,-,4,-,3,-,-,2,9,
Mark Cavendish,2015,Stage 9,10,-,4,-,-,-,-,2,16,
Mark Cavendish,2015,Stage 10,-,-,4,-,8,-,-,-,12,
